dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Bike Sharing,xgboost,mi,0.05,1.3614022135734558,16497.50048828125,0.023493161635990144,1.3613012433052063,128.43951416015625,0.769316350999361,1.0616282280007,0.08488474649948324,1.920631856250111
Bike Sharing,xgboost,mi,0.15,1.0266474485397339,11905.39208984375,0.02730310474281843,1.0263705253601074,109.10912704467773,0.769316350999361,0.7965863650006213,0.08785605925095293,1.663421157249104
Bike Sharing,xgboost,mi,0.25,0.9677912497520447,10718.55634765625,0.08763878724650445,0.9437347650527954,103.50776824951171,1.840167547499982,0.8376764142000366,0.07867253840001008,2.7629796429599853
Bike Sharing,xgboost,mi,0.5,0.8267059600353241,7299.195927734375,0.060699612495557026,0.8230237066745758,85.40486862182617,1.840167547499982,0.8330140743199854,0.08270953174006532,2.7628229946799685
Bike Sharing,xgboost,mi,0.75,0.41570458948612216,2085.4796240234373,0.04090980659000462,0.40489456057548523,45.58406539916992,1.840167547499982,0.9047338752199721,0.0844224620200202,2.836650689580024
Bike Sharing,xgboost,mi,1.0,0.3879422527551651,1799.3897143554686,0.022699615617357415,0.3826281279325485,42.388852005004885,0.0,0.9211408830200162,0.07997333458005411,1.0073520820799649
Bike Sharing,xgboost,rfe,0.05,4.6377071142196655,24546.21728515625,2.2081318230450226,5.644106388092041,155.92069625854492,0.03577701225094637,0.9352335972516812,0.09257579874974906,1.0690179677521883
Bike Sharing,xgboost,rfe,0.15,1.024421602487564,11954.6328125,0.025398784450842458,1.0218558311462402,109.33416366577148,0.03577701225094637,0.9220714852499441,0.08651429099973022,1.0488368835012807
Bike Sharing,xgboost,rfe,0.25,0.9091229724884033,8871.199052734375,0.0684708509586646,0.9093145728111267,94.14718643188476,0.0668741965199069,0.8813675073600234,0.07772317402001132,1.0324509587599686
Bike Sharing,xgboost,rfe,0.5,0.8273732852935791,7307.218017578125,0.06159650847789536,0.8180211782455444,85.44954788208008,0.0668741965199069,0.8568467980000378,0.08247401472006455,1.0129677602399898
