dataset,model,strategy,k_pct,fold,repeat_seed,corr_prune_threshold,n_features_total,n_features_post_prune,n_features_selected,selected_features
Bike Sharing,ridge,tree,0.25,9,42,0.9,12,11,3,hour|workingday|temp
Bike Sharing,ridge,tree,0.5,9,42,0.9,12,11,6,hour|workingday|temp|year|humidity|month
Bike Sharing,ridge,tree,0.75,9,42,0.9,12,11,9,hour|workingday|temp|year|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,9,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,9,42,0.9,12,11,3,feel_temp|hour|year
Bike Sharing,ridge,shap,0.5,9,42,0.9,12,11,6,feel_temp|hour|year|humidity|season|windspeed
Bike Sharing,ridge,shap,0.75,9,42,0.9,12,11,9,feel_temp|hour|year|humidity|season|windspeed|workingday|month|weekday
Bike Sharing,ridge,shap,1.0,9,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,10,42,0.9,12,11,3,hour|temp|humidity
Bike Sharing,ridge,mi,0.5,10,42,0.9,12,11,6,hour|temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,10,42,0.9,12,11,9,hour|temp|humidity|month|season|year|workingday|weekday|windspeed
Bike Sharing,ridge,mi,1.0,10,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,10,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,10,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,10,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,10,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,10,42,0.9,12,11,3,hour|workingday|year
Bike Sharing,ridge,tree,0.5,10,42,0.9,12,11,6,hour|workingday|year|feel_temp|humidity|month
Bike Sharing,ridge,tree,0.75,10,42,0.9,12,11,9,hour|workingday|year|feel_temp|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,10,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,10,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,shap,0.5,10,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,shap,0.75,10,42,0.9,12,11,9,temp|hour|year|humidity|season|month|weather|windspeed|workingday
Bike Sharing,ridge,shap,1.0,10,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Communities and Crime,ridge,mi,0.25,1,42,0.9,100,71,25,49|55|54|8|33|45|73|20|22|72|7|82|24|74|34|76|37|10|15|27|91|13|67|79|95
Communities and Crime,ridge,mi,0.5,1,42,0.9,100,71,50,49|55|54|8|33|45|73|20|22|72|7|82|24|74|34|76|37|10|15|27|91|13|67|79|95|60|77|94|66|41|125|42|30|83|44|28|88|56|119|75|29|38|62|98|16|99|58|6|70|26
Communities and Crime,ridge,mi,0.75,1,42,0.9,100,71,71,49|55|54|8|33|45|73|20|22|72|7|82|24|74|34|76|37|10|15|27|91|13|67|79|95|60|77|94|66|41|125|42|30|83|44|28|88|56|119|75|29|38|62|98|16|99|58|6|70|26|14|93|18|23|31|19|71|86|11|97|120|118|40|47|53|80|100|92|81|39|9
Communities and Crime,ridge,mi,1.0,1,42,0.9,100,71,100,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,rfe,0.25,1,42,0.9,100,70,25,49|63|85|55|90|43|7|73|76|78|71|69|17|66|12|44|18|38|53|26|20|42|33|11|95
Communities and Crime,ridge,rfe,0.5,1,42,0.9,100,70,50,49|63|85|55|90|43|7|73|76|78|71|69|17|66|12|44|18|38|53|26|20|42|33|11|95|56|68|93|54|94|16|10|23|34|19|57|59|79|80|77|99|41|39|14|30|8|120|74|92|15
Communities and Crime,ridge,rfe,0.75,1,42,0.9,100,70,70,49|63|85|55|90|43|7|73|76|78|71|69|17|66|12|44|18|38|53|26|20|42|33|11|95|56|68|93|54|94|16|10|23|34|19|57|59|79|80|77|99|41|39|14|30|8|120|74|92|15|27|82|91|75|28|6|29|125|100|31|118|81|22|98|83|119|40|37|9|97
Communities and Crime,ridge,rfe,1.0,1,42,0.9,100,70,100,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,tree,0.25,1,42,0.9,100,71,25,55|49|8|7|73|54|45|95|29|16|10|76|20|33|79|120|74|77|22|97|81|30|31|67|83
Communities and Crime,ridge,tree,0.5,1,42,0.9,100,71,50,55|49|8|7|73|54|45|95|29|16|10|76|20|33|79|120|74|77|22|97|81|30|31|67|83|94|92|53|91|93|39|64|19|40|41|60|37|58|65|27|82|5|118|80|23|99|56|125|71|11
