dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Bike Sharing,ridge,tree,0.75,9,42,3.369487719414608,22165.998995050497,148.88250063405872,4.787091041999929,0.0010234720000426,8.129399998324516e-05,4.788202510000019
Bike Sharing,ridge,tree,1.0,9,42,3.3516490050914483,22156.012812498426,148.84895972931227,0.0,0.0094213360000594,0.0001634289999401,0.009592067000085
Bike Sharing,ridge,shap,0.25,9,42,3.41206073281569,24282.873406566134,155.82962942446514,0.0185520109998833,0.0009689690000413,8.372800016331894e-05,0.0196177529999204
Bike Sharing,ridge,shap,0.5,9,42,3.264302251426946,22326.43204045773,149.4203200386672,0.0185520109998833,0.0008824859999094,8.346799995706533e-05,0.0195246069997665
Bike Sharing,ridge,shap,0.75,9,42,3.320852688411842,22222.565411115556,149.0723495860837,0.0185520109998833,0.014328308000131,0.0001426789999641,0.0330292599999211
Bike Sharing,ridge,shap,1.0,9,42,3.3516490050914483,22156.012812498426,148.84895972931227,0.0,0.0094213360000594,0.0001634289999401,0.009592067000085
Bike Sharing,ridge,mi,0.25,10,42,3.238711064175785,21310.023863929964,145.97953234590787,3.665745539,0.0010471959999449,8.703399998921668e-05,3.666892573999803
Bike Sharing,ridge,mi,0.5,10,42,3.356169498477798,18851.565949752243,137.30100491166203,3.665745539,0.000903997000023,8.511100008945505e-05,3.6667434819999016
Bike Sharing,ridge,mi,0.75,10,42,3.3695225784448737,18836.428483739182,137.24586873104482,3.665745539,0.0013795840000057,9.047000003192808e-05,3.6672292499999912
Bike Sharing,ridge,mi,1.0,10,42,3.356753618661296,18836.97281934556,137.2478517840828,0.0,0.0125285100000382,0.0001764430001003,0.0127114449999226
Bike Sharing,ridge,rfe,0.25,10,42,3.4762062530472333,20713.83431803805,143.92301524786802,0.1162926069998775,0.0010103770000569,8.575199990445981e-05,0.1174005779998879
Bike Sharing,ridge,rfe,0.5,10,42,3.356169498477799,18851.565949752243,137.30100491166203,0.1162926069998775,0.0008315600000514,7.264800001394178e-05,0.1172021639999911
Bike Sharing,ridge,rfe,0.75,10,42,3.3579380259564737,18857.76901458124,137.32359234516565,0.1162926069998775,0.0013310730000739,8.940900011111808e-05,0.1177325149999433
Bike Sharing,ridge,rfe,1.0,10,42,3.356753618661296,18836.97281934556,137.2478517840828,0.0,0.0125285100000382,0.0001764430001003,0.0127114449999226
Bike Sharing,ridge,tree,0.25,10,42,4.374579620441208,25533.97501144177,159.79353870367152,4.027850911000087,0.0009703319999516,8.604300001024967e-05,4.02891913700023
Bike Sharing,ridge,tree,0.5,10,42,3.3242339036947,19319.75192651303,138.99551045452162,4.027850911000087,0.0150272370001403,0.0001668049999352,4.043051955999999
Bike Sharing,ridge,tree,0.75,10,42,3.318687261271605,18855.54698913614,137.31550163450643,4.027850911000087,0.0011881729999458,0.0001007699997899,4.029150314000162
Bike Sharing,ridge,tree,1.0,10,42,3.356753618661296,18836.97281934556,137.2478517840828,0.0,0.0125285100000382,0.0001764430001003,0.0127114449999226
Bike Sharing,ridge,shap,0.25,10,42,3.4762062530472333,20713.83431803805,143.92301524786802,0.0284922349999305,0.0011654699999326,0.0001042460000917,0.029775236999967
Bike Sharing,ridge,shap,0.5,10,42,3.356169498477799,18851.565949752243,137.30100491166203,0.0284922349999305,0.0009495220001554,8.272700006273226e-05,0.0295315170001231
Bike Sharing,ridge,shap,0.75,10,42,3.3857865935501423,18857.014728647027,137.320845936249,0.0284922349999305,0.0011379179998129,9.27749999846128e-05,0.0297338889999991
Bike Sharing,ridge,shap,1.0,10,42,3.356753618661296,18836.97281934556,137.2478517840828,0.0,0.0125285100000382,0.0001764430001003,0.0127114449999226
Communities and Crime,ridge,mi,0.25,1,42,0.7071753768955211,0.0175135247915276,0.1323386745873163,1.59652850700013,0.0135064420001072,0.0001102079997963,1.6102213500003018
Communities and Crime,ridge,mi,0.5,1,42,0.6730052075346802,0.0169460891234192,0.1301771451654217,1.59652850700013,0.0052192650000506,8.566099995732657e-05,1.6018477700001768
Communities and Crime,ridge,mi,0.75,1,42,0.6392189912649995,0.0164479703964364,0.128249640921277,1.59652850700013,0.0013775710001482,7.471100002476305e-05,1.597985708000124
Communities and Crime,ridge,mi,1.0,1,42,0.6586266286402228,0.0166972620990318,0.1292178861420965,0.0,0.124471873999937,0.0001478189999488,0.1246269369999026
Communities and Crime,ridge,rfe,0.25,1,42,0.7091717111780852,0.0178756014427645,0.1336996688206989,1.1684173330002068,0.0009544019999339,8.294700000988087e-05,1.1694704220001313
