dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate Claims Severity,extratrees,rfe,0.75,3,256,0.6606450779345204,3904319.7579790484,2060.893939059902,0.16508351566456814,189.85321010101794,1.6448620846821447,191.66315570136464
Allstate Claims Severity,extratrees,rfe,1.0,3,256,0.6584421476130604,4013674.612200349,2003.415736236578,0.0,254.04640536400257,1.7648191640037112,256.35336284001824
Allstate Claims Severity,extratrees,rfe,0.25,4,256,0.7738261307124613,4155154.959217656,2038.4197210627783,0.2535767779918387,47.17736894200789,1.5725543330190703,49.484125422954094
Allstate Claims Severity,extratrees,rfe,0.5,4,256,0.7371796023593191,3931249.6170748193,1982.737909325088,0.2535767779918387,117.07955944701098,1.704003659018781,119.50103463296546
Allstate Claims Severity,extratrees,rfe,0.75,4,256,0.7108980957847858,3779364.9801766844,2020.819408790219,0.1378153897437103,198.97230622857035,1.8481635102578553,200.9582851285719
Allstate Claims Severity,extratrees,rfe,1.0,4,256,0.7098743471830282,3726259.534697247,1930.352178929339,0.0,259.3926575129735,1.94650332495803,261.8646268660086
Allstate Claims Severity,extratrees,rfe,0.25,5,256,0.7141096607566327,4584681.865335239,2141.1870225029943,0.2386833630152978,49.3086107679992,1.500506940006744,51.56068162800511
Allstate Claims Severity,extratrees,rfe,0.5,5,256,0.6429307271536433,3890744.262848167,1972.4969614293875,0.2386833630152978,119.6175085969735,1.730727833986748,122.2017914740136
Allstate Claims Severity,extratrees,rfe,0.75,5,256,0.6553317571424258,3903238.2425391786,1976.0510562908757,0.12243150550761762,192.37762836929915,1.871673599359863,194.37173347416663
Allstate Claims Severity,extratrees,rfe,1.0,5,256,0.6361906163801759,3791961.0666383207,1947.295834391457,0.0,259.6844813799835,2.027291795006022,262.1479116299888
Allstate Claims Severity,extratrees,shap,0.25,1,42,0.6766698682671336,4547090.876668235,2132.390882710821,8.96731097396696,44.82823369296966,1.4962777070468292,55.82791411597282
Allstate Claims Severity,extratrees,shap,0.5,1,42,0.6549794172002332,3954419.127135406,1988.57213274636,8.96731097396696,127.71739958395484,1.7278663329780102,138.97862224798882
Allstate Claims Severity,extratrees,shap,0.75,1,42,0.621814580512595,3667466.847952047,1981.6867056684887,4.431694002643317,203.86772797698927,1.2542593319541309,209.55368131158673
Allstate Claims Severity,extratrees,shap,1.0,1,42,0.6317464712542531,3814725.475275242,1953.132221657111,0.0,258.9097330960212,0.7695418340153992,260.03563748602755
Allstate Claims Severity,extratrees,shap,0.25,2,42,0.8055352966472082,4722117.7987388205,2173.0434415213194,8.56840570300119,50.453086087014526,1.0896272100508213,60.48586913396139
Allstate Claims Severity,extratrees,shap,0.5,2,42,0.7306692065568494,4276347.920967734,2067.9332486731128,8.56840570300119,125.0653098920011,1.6384575480478816,135.8036285120179
Allstate Claims Severity,extratrees,shap,0.75,2,42,0.7508052106085671,4365057.676740804,2025.8180721972371,4.131264356890085,192.83486947775648,1.585698662606448,198.55183249725303
Allstate Claims Severity,extratrees,shap,1.0,2,42,0.7218088533070783,4129812.529167324,2032.1940185836893,0.0,261.0191455389722,1.479058436001651,262.8854708870058
Allstate Claims Severity,extratrees,shap,0.25,3,42,0.6966725670981518,4341982.487806105,2083.7424235749736,8.129344015032984,54.30842896195827,1.536029901006259,64.47226203599712
Allstate Claims Severity,extratrees,shap,0.5,3,42,0.677547199200826,4130997.697792208,2032.485595961804,8.129344015032984,123.84332736197392,1.848130104946904,134.26001992000965
Allstate Claims Severity,extratrees,shap,0.75,3,42,0.6731443725352909,3891901.4831152274,1927.6558255567707,3.959064982770674,185.9641927350386,1.37510755840722,191.29836527621651
Allstate Claims Severity,extratrees,shap,1.0,3,42,0.6463493585961526,3903072.7877689935,1975.6195959164288,0.0,253.49157633795403,0.940649727010168,254.80729432002408
Allstate Claims Severity,extratrees,shap,0.25,4,42,0.6798431226499423,4484770.744096097,2117.727731342274,8.867303537030239,46.600169775018,1.4684370909817517,57.5288928070222
Allstate Claims Severity,extratrees,shap,0.5,4,42,0.6558628113958611,4084664.8323304434,2021.055375869361,8.867303537030239,122.82627802004572,1.6814435509731993,133.9181579319993
Allstate Claims Severity,extratrees,shap,0.75,4,42,0.6405394440641963,4031703.447155598,2006.771129906964,4.414684107577411,188.80935026007558,1.8104924675242178,195.03452683517722
Allstate Claims Severity,extratrees,shap,1.0,4,42,0.6375725666049408,4021674.645702218,2005.4113407733128,0.0,262.2031099179876,1.9653354269685224,264.7394032069715
Allstate Claims Severity,extratrees,shap,0.25,5,42,0.6988256247115281,4527731.127391789,2127.846593951685,8.859517025004607,49.05078031902667,1.5525796129950322,60.06633547501406
Allstate Claims Severity,extratrees,shap,0.5,5,42,0.6583785450311935,4268928.298174607,2066.1384992721582,8.859517025004607,123.38817281700904,1.5438772600027733,134.24311410501832
Allstate Claims Severity,extratrees,shap,0.75,5,42,0.6355378448392696,4030164.1641982216,1989.6770525682145,4.186574822698199,194.2093372584652,1.176565594462827,199.57247767562623
Allstate Claims Severity,extratrees,shap,1.0,5,42,0.6330759745181875,3976469.947160397,1994.108810260964,0.0,260.0435272940085,0.7961461860104464,261.2115690910141
Allstate Claims Severity,extratrees,shap,0.25,1,123,0.7143068148171698,4306278.584333379,2075.157484224602,8.656772265967447,51.54027064703405,1.4778176739928313,62.13123020995408
