dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Bike Sharing,xgboost,rfe,1.0,0.39002306640148166,1804.7439893639605,0.02240485186387478,0.38824647665023804,42.565158462524415,0.0,3.1577380434202498,0.08193241815548385,3.240016865240177
Bike Sharing,xgboost,shap,0.25,0.9088546168804169,8857.182724609374,0.0690728185926855,0.9033622145652771,94.07145202636718,18.993672151465436,3.275899159535766,0.08499005303950975,22.35543734032777
Bike Sharing,xgboost,shap,0.5,0.42852177619934084,2958.1599333389945,0.02093734413332661,0.43117609620094294,54.19642417907715,18.043940370746423,3.1923699728155044,0.07865170468809078,21.315277188667096
Bike Sharing,xgboost,shap,0.75,0.40223663330078124,2072.735009765625,0.02539411482894206,0.40135957300662994,45.48568405151367,18.993672151465436,3.92442695774138,0.08605285199824715,23.004441223179455
Bike Sharing,xgboost,shap,1.0,0.39002306640148166,1804.7439893639605,0.02240485186387478,0.38824647665023804,42.565158462524415,0.0,3.1577380434202498,0.08193241815548385,3.240016865240177
Bike Sharing,xgboost,tree,0.25,0.5889043176174164,7252.288173828125,0.06433940816068265,0.5742048025131226,85.07789642333984,2.800904933986021,3.6622524584003258,0.07784794699866321,6.541359894066118
Bike Sharing,xgboost,tree,0.5,0.4373943775892258,3099.4225384256115,0.02537924518435227,0.43308722972869873,55.73278312683105,2.647565838905284,3.251812266521156,0.07689913206850173,5.976581512503326
Bike Sharing,xgboost,tree,0.75,0.4034076565504074,2106.646728515625,0.023181919958802796,0.40027301013469696,45.867781448364255,2.800904933986021,3.1493663261213807,0.08294690452050414,6.033527257622918
Bike Sharing,xgboost,tree,1.0,0.39002306640148166,1804.7439893639605,0.02240485186387478,0.38824647665023804,42.565158462524415,0.0,3.1577380434202498,0.08193241815548385,3.240016865240177
Communities and Crime,extratrees,mi,0.25,1932623031903.8481,0.018981586731917043,2131264714672.7214,1242450349461.1902,0.13740398008250496,1.2832251171628013,0.7996995842189062,0.10574696216150184,2.189179382940056
Communities and Crime,extratrees,mi,0.5,1988718930042.1123,0.01859324062085286,2166733714301.7297,1374834113130.9556,0.13602669268393403,1.2053759844438172,1.1333536036219447,0.10235702314064835,2.4414304716628976
Communities and Crime,extratrees,mi,0.75,1975132146688.1418,0.018233668631607993,2261050382181.1807,1162109753093.553,0.1346575352566988,1.2832251171628013,1.6149338567082305,0.10491527466452677,3.003423684765585
Communities and Crime,extratrees,mi,1.0,2007472667861.599,0.01820902154258516,2209319261796.7446,1220384974402.4988,0.13472961403225642,0.0,1.9549632886820474,0.10143562820041549,2.056743926742347
Communities and Crime,extratrees,rfe,0.25,1773900452383.358,0.01913188064049116,2002037262682.7126,1112321214499.5977,0.13791328923843568,2.86573334053508,0.827216166498838,0.13851191931520584,3.8324268702126574
Communities and Crime,extratrees,rfe,0.5,1945011782849.1497,0.018618078756913604,2147122349739.6147,1239799823253.244,0.13617046239183442,2.599928393976297,1.1533284134371207,0.10732083980576132,3.8609143982362
Communities and Crime,extratrees,rfe,0.75,1848334430737.223,0.01834309141213814,2157185338394.0725,923351079381.1963,0.1350499526692101,2.86573334053508,1.7038377812225372,0.11212166084093038,4.682032611890463
Communities and Crime,extratrees,rfe,1.0,2007472667861.599,0.01820902154258516,2209319261796.7446,1220384974402.4988,0.13472961403225642,0.0,1.9549632886820474,0.10143562820041549,2.056743926742347
Communities and Crime,extratrees,shap,0.25,2096659180050.0322,0.018778662287079105,2489603240198.7705,1111260379160.2715,0.13659041768392302,9.922133968777489,0.889801080240868,0.12356673746136945,10.935858017121209
Communities and Crime,extratrees,shap,0.5,2031519973100.445,0.018287762945627548,2251414038902.6353,1339135478744.306,0.13491801486175517,9.044620670679723,1.2242661347414832,0.12136908531421792,10.390612338791835
Communities and Crime,extratrees,shap,0.75,1976702182990.3965,0.01825910093519719,2290388406381.8613,1259423714891.039,0.13472484750093983,9.922133968777489,1.7376411684649065,0.11677437267731872,11.777286032958655
Communities and Crime,extratrees,shap,1.0,2007472667861.599,0.01820902154258516,2209319261796.7446,1220384974402.4988,0.13472961403225642,0.0,1.9549632886820474,0.10143562820041549,2.056743926742347
Communities and Crime,extratrees,tree,0.25,2191884286341.9165,0.018380434031594183,2515422746845.9995,1181346233914.0273,0.13514448958875946,2.2374920346052387,0.8390955455799122,0.1138733338215388,3.190792301922338
Communities and Crime,extratrees,tree,0.5,2002049146500.8032,0.018134027419185555,2236386567536.8096,1230847906726.8794,0.13435831795403033,2.0919625807064586,1.186273223318858,0.1112780337047297,3.389855010462925
Communities and Crime,extratrees,tree,0.75,1920653527758.5393,0.01827042941724493,2259404080664.5522,1095347849069.7649,0.13476250828643196,2.2374920346052387,1.7525396254868246,0.11392140776151788,4.1043089278857225
Communities and Crime,extratrees,tree,1.0,2007472667861.599,0.01820902154258516,2209319261796.7446,1220384974402.4988,0.13472961403225642,0.0,1.9549632886820474,0.10143562820041549,2.056743926742347
