dataset,model,strategy,k_pct,fold,repeat_seed,rmse,mae,mape,mse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate,xgboost,custom_shap_rfe,0.5,4,42,1874.7404597997754,1193.697352246436,0.7281297266552338,3514651.791610273,1.0369985830038786e-05,9.896268273005262,0.26459589501610026,10.160874538007192
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.05,1,42,2227.8249227333836,1385.117734277769,0.7172077273257119,4963203.886352007,117.76085893798154,7.738575112016406,0.034833019017241895,125.53426706901519
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.1,1,42,1972.6990685418107,1269.4130737172454,0.6545344708585791,3891541.615025727,133.5925719740044,7.636670281004626,0.06582310699741356,141.29506536200643
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.15,1,42,1921.482925825281,1209.1109297378528,0.6044609541426978,3692096.634238082,117.02059212399763,5.7071733709890395,0.07023710297653452,122.7980025979632
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.25,1,42,1916.1688016902747,1209.291090276389,0.6079145839141658,3671702.876571143,149.6448704600043,8.135658375977073,0.15494766499614343,157.93547650097753
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.5,1,42,1901.1698148327903,1191.3371479298246,0.5916009206072763,3614446.6648313464,186.22127379997983,8.85372985099093,0.25191245501628146,195.32691610598704
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.05,2,42,2139.3044287115927,1356.906995097949,0.6909918328630253,4576623.438705034,118.98862678799196,7.369418736983789,0.03966500700335018,126.3977105319791
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.1,2,42,1979.7946588009402,1287.3490929628695,0.676753562838067,3919586.8910167315,133.41895331500564,7.635580572008621,0.0535439990053419,141.1080778860196
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.15,2,42,1873.444896636485,1193.468559073008,0.5970472304800077,3509795.78073329,117.0270694050123,5.681218990997877,0.046421245991950855,122.75470964200213
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.25,2,42,1877.6128223992228,1197.9927923755113,0.6027618893108466,3525429.9108379753,152.70856407200336,8.596240910992492,0.15997879698988982,161.46478377998574
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.5,2,42,1852.872830060821,1175.965122503315,0.5859834070413505,3433137.7243775954,184.01859484199667,8.682583988003898,0.23856572600197978,192.93974455600255
Allstate,xgboost,custom_shap_rfe,0.05,5,42,2262.4514193849022,1410.1924896211713,0.7305132517265619,5118686.4250767585,1.9706989405676723e-05,3.4750478329951875,0.033389746997272596,3.5084572869818658
Allstate,xgboost,custom_shap_rfe,0.1,5,42,2059.5835408692324,1305.9951848229578,0.6810644671939428,4241884.361819444,1.2083008186891675e-05,5.072747564991005,0.04410865300451405,5.116868301003706
Allstate,xgboost,custom_shap_rfe,0.15,5,42,1884.3852094017784,1208.9537774873406,0.6325851193263404,3550907.617412184,1.0609976015985012e-05,5.207016090978868,0.05335245400783606,5.26037915496272
Allstate,xgboost,custom_shap_rfe,0.25,5,42,1877.5571196501476,1198.7237380003949,0.6212256464799866,3525220.737548959,1.2864999007433653e-05,5.27316142298514,0.09608153099543415,5.369255818979582
Allstate,xgboost,custom_shap_rfe,0.5,5,42,1865.7752970570475,1192.0147487039494,0.6189274841956321,3481117.4591083135,1.0760006261989474e-05,6.105031690996839,0.2019613209995441,6.307003772002645
Allstate,xgboost,native_fi,0.05,6,42,2224.649186527791,1441.2709254659103,0.7642520131738826,4949064.003118761,2.0139850676059723e-06,6.432570008997573,0.040348782000364736,6.472920804983005
Allstate,xgboost,native_fi,0.1,6,42,2054.0238095834716,1338.0536736409747,0.7087834262820436,4219013.810335798,1.5429977793246508e-06,6.090047150995815,0.08733075400232337,6.177379447995918
Allstate,xgboost,native_fi,0.15,6,42,1977.2034315072626,1259.5890562533602,0.6371753852401641,3909333.4095640946,2.173997927457094e-06,7.230409770010738,0.05966731201624498,7.29007925602491
Allstate,xgboost,native_fi,0.25,6,42,1939.5828445825325,1232.8689295071429,0.6135075255940274,3761981.6109988685,1.181993866339326e-06,8.222566312993877,0.21202134600025602,8.434588840987999
