dataset,dataset_instance,k_pct,fold,repeat_seed,strategy_a,strategy_b,rmse_a,rmse_b,rmse_abs_diff,rmse_rel_diff,mae_abs_diff,jaccard,n_sym_diff,n_features_a,n_features_b
Allstate,Exp2B-Allstate,0.1,6,123,native_fi,hybrid_fi_custom_shap_rfe,1999.5396095749927,1998.4616756850585,1.0779338899342292,0.0005390910411438895,31.374483207760704,0.5294117647058824,8,13,13
Superconductor,Exp2A-Superconductor,0.5,2,999,native_fi,hybrid_fi_custom_shap_rfe,9.815922937064569,9.821230432458664,0.005307495394095696,0.000540702634701296,0.00852139032002519,0.7021276595744681,14,40,40
Allstate,Exp2B-Allstate,0.25,8,123,native_fi,custom_shap_rfe,2163.6444691699385,2162.4441795106795,1.2002896592589423,0.0005547536466189484,12.734662618710445,0.7368421052631579,10,33,33
Allstate,Exp2B-Allstate,0.15,2,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1886.645517502904,1887.6928516222608,1.0473341193567194,0.0005551303144339129,1.6368841394569245,0.9047619047619048,2,20,20
Superconductor,Exp2A-Superconductor,0.5,10,123,native_fi,custom_shap_rfe,10.277995190723544,10.283755891622231,0.005760700898687077,0.0005604887715735093,0.016378635044043577,0.6326530612244898,18,40,40
Superconductor,Exp2A-Superconductor,0.5,8,123,custom_shap_rfe,hybrid_fi_custom_shap_rfe,10.116566625834702,10.122317604584287,0.0057509787495853,0.0005684713957103798,0.001729225998426287,0.7777777777777778,10,40,40
Superconductor,Exp2A-Superconductor,0.05,2,42,native_fi,custom_shap_rfe,13.402704474998032,13.410786613033126,0.008082138035094388,0.0006030229234831782,0.003687832645908884,0.6,2,4,4
Allstate,Exp2B-Allstate,0.5,7,512,native_fi,hybrid_fi_custom_shap_rfe,1854.0911155351837,1855.239956882992,1.1488413478082293,0.0006196250756946301,1.458366108832024,0.76,18,66,66
Allstate,Exp2B-Allstate,0.15,2,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,2113.441415027247,2112.131593892973,1.3098211342739887,0.0006197574841491891,0.008214268194251417,1.0,0,20,20
Superconductor,Exp2A-Superconductor,0.5,5,42,native_fi,custom_shap_rfe,10.118148614638676,10.111849713663949,0.006298900974726962,0.0006225349334772445,0.02344553748890732,0.5686274509803921,22,40,40
Allstate,Exp2B-Allstate,0.5,8,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1830.418939429342,1831.5711195538468,1.1521801245048664,0.0006294625234068406,0.5613612950405695,0.8333333333333334,12,66,66
Allstate,Exp2B-Allstate,0.5,10,999,native_fi,custom_shap_rfe,1858.5494696467115,1857.364564849272,1.184904797439458,0.0006375427809649289,0.5207363546253418,0.7142857142857143,22,66,66
Allstate,Exp2B-Allstate,0.15,8,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,2070.0473381805327,2071.375486065147,1.3281478846142818,0.0006416026629524602,0.1191092712349473,1.0,0,20,20
Allstate,Exp2B-Allstate,0.5,2,42,native_fi,hybrid_fi_custom_shap_rfe,1854.0651890106155,1852.872830060821,1.1923589497946523,0.0006431051922348699,0.9969198680996669,0.7142857142857143,22,66,66
Superconductor,Exp2A-Superconductor,0.25,7,512,native_fi,hybrid_fi_custom_shap_rfe,10.530054567539263,10.523280175105535,0.006774392433728238,0.0006433387776176858,0.03426983713201981,0.5384615384615384,12,20,20
Allstate,Exp2B-Allstate,0.5,9,999,native_fi,hybrid_fi_custom_shap_rfe,1872.8114157091663,1871.597393278401,1.2140224307654535,0.0006482352791008308,0.8661191193104969,0.7142857142857143,22,66,66
